Well,Strain,Bio,Tech,Media,Condition,Plate Age,mM PQ,plate
204,sirR,A,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
205,sirR,B,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
206,sirR,B,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
207,sirR,B,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
208,sirR,C,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
209,sirR,C,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
210,blank,,,CM,0.083mM PQ,21,0,201506_PQ_5
211,sirR,C,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
212,sirR,D,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
213,sirR,D,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
214,sirR,D,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
215,troR,A,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
216,troR,A,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
217,troR,A,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
218,troR,B,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
219,troR,B,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
220,troR,B,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
221,troR,C,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
222,troR,C,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
223,troR,C,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
224,troR,D,1,CM,0.083mM PQ,21,0.083,201506_PQ_5
225,troR,D,2,CM,0.083mM PQ,21,0.083,201506_PQ_5
226,troR,D,3,CM,0.083mM PQ,21,0.083,201506_PQ_5
227,ura3,A,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
228,ura3,A,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
229,ura3,A,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
230,ura3,B,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
231,ura3,B,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
232,ura3,B,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
233,ura3,C,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
234,ura3,C,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
235,ura3,C,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
236,ura3,D,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
237,ura3,D,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
238,ura3,D,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
239,idr1,A,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
240,idr1,A,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
241,idr1,A,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
242,idr1,B,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
243,idr1,B,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
244,idr1,B,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
245,idr1,C,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
246,idr1,C,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
247,idr1,C,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
248,idr1,D,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
249,idr1,D,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
250,idr1,D,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
251,idr2,A,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
252,idr2,A,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
253,idr2,A,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
254,idr2,B,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
255,idr2,B,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
256,idr2,B,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
257,idr2,C,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
258,idr2,C,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
259,idr2,C,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
260,idr2,D,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
261,idr2,D,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
262,idr2,D,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
263,sirR,A,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
264,sirR,A,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
265,sirR,A,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
266,sirR,B,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
267,sirR,B,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
268,sirR,B,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
269,sirR,C,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
270,sirR,C,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
271,sirR,C,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
272,sirR,D,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
273,sirR,D,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
274,sirR,D,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
275,troR,A,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
276,troR,A,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
277,troR,A,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
278,troR,B,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
279,troR,B,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
280,troR,B,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
281,troR,C,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
282,troR,C,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
283,troR,C,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
284,troR,D,1,CM,0.333mM PQ,21,0.333,201506_PQ_5
285,troR,D,2,CM,0.333mM PQ,21,0.333,201506_PQ_5
286,troR,D,3,CM,0.333mM PQ,21,0.333,201506_PQ_5
287,blank,,,CM,,21,0,201506_PQ_5
288,blank,,,CM,,21,0,201506_PQ_5
289,blank,,,CM,,21,0,201506_PQ_5
290,blank,,,CM,,21,0,201506_PQ_5
291,blank,,,CM,,21,0,201506_PQ_5
292,blank,,,CM,,21,0,201506_PQ_5
293,blank,,,CM,,21,0,201506_PQ_5
294,blank,,,CM,,21,0,201506_PQ_5
295,blank,,,CM,,21,0,201506_PQ_5
296,blank,,,CM,,21,0,201506_PQ_5
297,blank,,,CM,,21,0,201506_PQ_5
298,blank,,,CM,,21,0,201506_PQ_5
299,blank,,,CM,,21,0,201506_PQ_5
300,blank,,,CM,,21,0,201506_PQ_5
