ID,HostConc,VirusConc,Key,host_num,virus_num
82,H5E6,_V5E8,H5E6_V5E8,5000000,500000000
83,H5E6,_V5E8,H5E6_V5E8,5000000,500000000
84,H5E6,_V5E8,H5E6_V5E8,5000000,500000000
85,H5E6,_V5E7,H5E6_V5E7,5000000,50000000
86,H5E6,_V5E7,H5E6_V5E7,5000000,50000000
87,H5E6,_V5E7,H5E6_V5E7,5000000,50000000
88,H5E6,_V5E6,H5E6_V5E6,5000000,5000000
89,H5E6,_V5E6,H5E6_V5E6,5000000,5000000
90,H5E6,_V5E6,H5E6_V5E6,5000000,5000000
91,H5E6,_V5E5,H5E6_V5E5,5000000,500000
92,H5E6,_V5E5,H5E6_V5E5,5000000,500000
93,H5E6,_V5E5,H5E6_V5E5,5000000,500000
94,H5E6,_V5E4,H5E6_V5E4,5000000,50000
95,H5E6,_V5E4,H5E6_V5E4,5000000,50000
96,H5E6,_V5E4,H5E6_V5E4,5000000,50000
97,H5E6,_V5E3,H5E6_V5E3,5000000,5000
98,H5E6,_V5E3,H5E6_V5E3,5000000,5000
99,H5E6,_V5E3,H5E6_V5E3,5000000,5000
100,H5E6,_V5E2,H5E6_V5E2,5000000,500
101,H5E6,_V5E2,H5E6_V5E2,5000000,500
102,H5E6,_V5E2,H5E6_V5E2,5000000,500
103,H5E6,_V5E1,H5E6_V5E1,5000000,50
104,H5E6,_V5E1,H5E6_V5E1,5000000,50
105,H5E6,_V5E1,H5E6_V5E1,5000000,50
106,H5E6,_V0E0,H5E6_V0E0,5000000,0
107,H5E6,_V0E0,H5E6_V0E0,5000000,0
108,H5E6,_V0E0,H5E6_V0E0,5000000,0
