time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
259.0000,0.0808,0.0842,0.0863,0.0822,0.0855,0.0876,0.0858,0.0891,0.0912,0.0965,0.0998,0.1019,0.1045,0.1059,0.1056,0.1237,0.1241,0.1106,0.1565,0.1807,0.1468,0.2067,0.2346,0.2400,0.2895,0.2791,0.2952
262.0000,0.0833,0.0817,0.0865,0.0846,0.0830,0.0878,0.0882,0.0866,0.0914,0.0989,0.0973,0.1021,0.1057,0.1063,0.1062,0.1313,0.1294,0.1173,0.1528,0.1753,0.1399,0.2064,0.2325,0.2300,0.3024,0.2897,0.3051
265.0000,0.0823,0.0825,0.0874,0.0836,0.0838,0.0887,0.0872,0.0874,0.0923,0.0979,0.0981,0.1030,0.1063,0.1063,0.1065,0.1298,0.1284,0.1190,0.1470,0.1721,0.1336,0.1993,0.2287,0.2300,0.3119,0.2993,0.3149
268.0000,0.0821,0.0825,0.0855,0.0834,0.0838,0.0868,0.0870,0.0874,0.0904,0.0977,0.0981,0.1011,0.1057,0.1046,0.1068,0.1263,0.1254,0.1189,0.1396,0.1685,0.1297,0.1957,0.2262,0.2250,0.3214,0.3097,0.3288
271.0000,0.0808,0.0811,0.0865,0.0821,0.0824,0.0878,0.0857,0.0860,0.0914,0.0964,0.0967,0.1021,0.1051,0.1052,0.1059,0.1217,0.1190,0.1147,0.1315,0.1628,0.1251,0.1888,0.2157,0.2100,0.3299,0.3201,0.3387
274.0000,0.0817,0.0819,0.0881,0.0830,0.0832,0.0894,0.0866,0.0868,0.0930,0.0973,0.0975,0.1037,0.1058,0.1051,0.1060,0.1187,0.1164,0.1139,0.1261,0.1560,0.1182,0.1854,0.2138,0.2100,0.3408,0.3301,0.3478
277.0000,0.0813,0.0814,0.0918,0.0826,0.0827,0.0931,0.0862,0.0863,0.0967,0.0969,0.0970,0.1074,0.1056,0.1043,0.1060,0.1157,0.1157,0.1139,0.1180,0.1472,0.1148,0.1758,0.2092,0.2100,0.3494,0.3388,0.3583
280.0000,0.0817,0.0829,0.0877,0.0830,0.0842,0.0890,0.0866,0.0878,0.0926,0.0973,0.0985,0.1033,0.1059,0.1054,0.1073,0.1140,0.1128,0.1153,0.1127,0.1365,0.1143,0.1689,0.2020,0.2000,0.3577,0.3497,0.3686
283.0000,0.0819,0.0850,0.0897,0.0832,0.0863,0.0910,0.0868,0.0899,0.0946,0.0975,0.1006,0.1053,0.1052,0.1072,0.1062,0.1123,0.1123,0.1173,0.1072,0.1282,0.1118,0.1593,0.1913,0.2100,0.3646,0.3574,0.3802
286.0000,0.0814,0.0833,0.0896,0.0827,0.0846,0.0909,0.0863,0.0882,0.0945,0.0970,0.0989,0.1052,0.1051,0.1064,0.1061,0.1118,0.1128,0.1143,0.1073,0.1225,0.1107,0.1533,0.1852,0.1900,0.3733,0.3674,0.3882
289.0000,0.0817,0.0849,0.0924,0.0830,0.0862,0.0937,0.0866,0.0898,0.0973,0.0973,0.1005,0.1080,0.1052,0.1067,0.1065,0.1114,0.1131,0.1151,0.1038,0.1171,0.1087,0.1444,0.1779,0.1800,0.3843,0.3755,0.3978
292.0000,0.0817,0.0839,0.0913,0.0830,0.0852,0.0926,0.0866,0.0888,0.0962,0.0973,0.0995,0.1069,0.1049,0.1073,0.1070,0.1107,0.1141,0.1149,0.1029,0.1147,0.1105,0.1363,0.1762,0.1800,0.3938,0.3877,0.4099
295.0000,0.0828,0.0853,0.0923,0.0841,0.0866,0.0936,0.0877,0.0902,0.0972,0.0984,0.1009,0.1079,0.1051,0.1074,0.1076,0.1113,0.1145,0.1163,0.1026,0.1112,0.1103,0.1298,0.1713,0.1700,0.4023,0.3958,0.4194
298.0000,0.0818,0.0849,0.0910,0.0831,0.0862,0.0923,0.0867,0.0898,0.0959,0.0974,0.1005,0.1066,0.1070,0.1075,0.1054,0.1116,0.1137,0.1143,0.1041,0.1088,0.1088,0.1241,0.1567,0.1600,0.4135,0.4055,0.4299
301.0000,0.0822,0.0841,0.0936,0.0835,0.0854,0.0949,0.0871,0.0890,0.0985,0.0978,0.0997,0.1092,0.1056,0.1073,0.1061,0.1108,0.1139,0.1164,0.1030,0.1075,0.1084,0.1181,0.1497,0.1500,0.4228,0.4153,0.4398
304.0000,0.0825,0.0860,0.0963,0.0838,0.0873,0.0976,0.0874,0.0909,0.1012,0.0981,0.1016,0.1119,0.1050,0.1069,0.1072,0.1106,0.1133,0.1182,0.1024,0.1079,0.1083,0.1136,0.1449,0.1450,0.4309,0.4245,0.4485
307.0000,0.0819,0.0853,0.0929,0.0832,0.0866,0.0942,0.0868,0.0902,0.0978,0.0975,0.1009,0.1085,0.1051,0.1085,0.1070,0.1107,0.1137,0.1159,0.1024,0.1089,0.1092,0.1123,0.1391,0.1400,0.4388,0.4339,0.4588
310.0000,0.0817,0.0831,0.0904,0.0830,0.0844,0.0917,0.0866,0.0880,0.0953,0.0973,0.0987,0.1060,0.1050,0.1070,0.1055,0.1109,0.1146,0.1138,0.1040,0.1086,0.1061,0.1132,0.1324,0.1250,0.4507,0.4452,0.4676
313.0000,0.0822,0.0855,0.0947,0.0835,0.0868,0.0960,0.0871,0.0904,0.0996,0.0978,0.1011,0.1103,0.1053,0.1071,0.1070,0.1104,0.1157,0.1156,0.1026,0.1071,0.1064,0.1124,0.1277,0.1200,0.4569,0.4535,0.4780
316.0000,0.0830,0.0868,0.0935,0.0843,0.0881,0.0948,0.0879,0.0917,0.0984,0.0986,0.1024,0.1091,0.1059,0.1072,0.1089,0.1106,0.1171,0.1176,0.1027,0.1094,0.1074,0.1114,0.1209,0.1200,0.4637,0.4613,0.4861
319.0000,0.0825,0.0846,0.0935,0.0838,0.0859,0.0948,0.0874,0.0895,0.0984,0.0981,0.1002,0.1091,0.1043,0.1071,0.1072,0.1106,0.1145,0.1149,0.1028,0.1097,0.1079,0.1119,0.1283,0.1200,0.4721,0.4681,0.4956
322.0000,0.0830,0.0856,0.0949,0.0843,0.0869,0.0962,0.0879,0.0905,0.0998,0.0986,0.1012,0.1105,0.1062,0.1079,0.1067,0.1115,0.1150,0.1139,0.1051,0.1087,0.1088,0.1134,0.1221,0.1200,0.4780,0.4746,0.5004
325.0000,0.0823,0.0885,0.0966,0.0836,0.0898,0.0979,0.0872,0.0934,0.1015,0.0979,0.1041,0.1122,0.1055,0.1073,0.1073,0.1112,0.1143,0.1151,0.1052,0.1083,0.1073,0.1142,0.1182,0.1150,0.4842,0.4821,0.5083
328.0000,0.0825,0.0908,0.0962,0.0838,0.0922,0.0975,0.0874,0.0958,0.1011,0.0981,0.1065,0.1118,0.1043,0.1084,0.1070,0.1102,0.1160,0.1146,0.1037,0.1091,0.1075,0.1135,0.1107,0.1100,0.4901,0.4874,0.5151
331.0000,0.0832,0.0894,0.0942,0.0845,0.0907,0.0955,0.0881,0.0943,0.0991,0.0988,0.1050,0.1098,0.1047,0.1075,0.1060,0.1110,0.1159,0.1148,0.1036,0.1089,0.1100,0.1131,0.1065,0.1000,0.4946,0.4929,0.5217
334.0000,0.0828,0.0885,0.0940,0.0841,0.0898,0.0953,0.0877,0.0934,0.0989,0.0984,0.1041,0.1096,0.1046,0.1071,0.1070,0.1098,0.1162,0.1149,0.1039,0.1093,0.1089,0.1131,0.1039,0.1000,0.4998,0.4988,0.5278
337.0000,0.0832,0.0857,0.0939,0.0845,0.0870,0.0952,0.0881,0.0906,0.0988,0.0988,0.1013,0.1095,0.1048,0.1071,0.1062,0.1111,0.1154,0.1133,0.1041,0.1087,0.1073,0.1133,0.1007,0.1000,0.5036,0.5012,0.5320
340.0000,0.0835,0.0899,0.0962,0.0848,0.0912,0.0975,0.0884,0.0948,0.1011,0.0991,0.1055,0.1118,0.1053,0.1078,0.1080,0.1111,0.1170,0.1145,0.1052,0.1090,0.1068,0.1139,0.1008,0.1000,0.5075,0.5050,0.5377
343.0000,0.0829,0.0890,0.0952,0.0842,0.0903,0.0965,0.0878,0.0939,0.1001,0.0999,0.1057,0.1116,0.1053,0.1076,0.1082,0.1106,0.1164,0.1160,0.1039,0.1093,0.1099,0.1128,0.0976,0.0990,0.5101,0.5083,0.5422
346.0000,0.0843,0.0901,0.0960,0.0856,0.0914,0.0973,0.0892,0.0950,0.1009,0.0999,0.1057,0.1116,0.1053,0.1076,0.1082,0.1106,0.1164,0.1160,0.1039,0.1093,0.1099,0.1128,0.0976,0.0950,0.5101,0.5083,0.5422
