ID,HostConc,VirusConc,Key,host_num,virus_num
1,H1E5,_V5E8,H1E5_V5E8,100000,500000000
2,H1E5,_V5E8,H1E5_V5E8,100000,500000000
3,H1E5,_V5E8,H1E5_V5E8,100000,500000000
4,H1E5,_V5E7,H1E5_V5E7,100000,50000000
5,H1E5,_V5E7,H1E5_V5E7,100000,50000000
6,H1E5,_V5E7,H1E5_V5E7,100000,50000000
7,H1E5,_V5E6,H1E5_V5E6,100000,5000000
8,H1E5,_V5E6,H1E5_V5E6,100000,5000000
9,H1E5,_V5E6,H1E5_V5E6,100000,5000000
10,H1E5,_V5E5,H1E5_V5E5,100000,500000
11,H1E5,_V5E5,H1E5_V5E5,100000,500000
12,H1E5,_V5E5,H1E5_V5E5,100000,500000
13,H1E5,_V5E4,H1E5_V5E4,100000,50000
14,H1E5,_V5E4,H1E5_V5E4,100000,50000
15,H1E5,_V5E4,H1E5_V5E4,100000,50000
16,H1E5,_V5E3,H1E5_V5E3,100000,5000
17,H1E5,_V5E3,H1E5_V5E3,100000,5000
18,H1E5,_V5E3,H1E5_V5E3,100000,5000
19,H1E5,_V5E2,H1E5_V5E2,100000,500
20,H1E5,_V5E2,H1E5_V5E2,100000,500
21,H1E5,_V5E2,H1E5_V5E2,100000,500
22,H1E5,_V5E1,H1E5_V5E1,100000,50
23,H1E5,_V5E1,H1E5_V5E1,100000,50
24,H1E5,_V5E1,H1E5_V5E1,100000,50
25,H1E5,_V0E0,H1E5_V0E0,100000,0
26,H1E5,_V0E0,H1E5_V0E0,100000,0
27,H1E5,_V0E0,H1E5_V0E0,100000,0
