Well,Strain,Bio,Tech,Media,Condition,Plate Age,mM PQ,plate
142,trh3,B,1,CM,,23,0,20150517_PQ_3
143,trh3,B,2,CM,,23,0,20150517_PQ_3
144,trh3,B,3,CM,,23,0,20150517_PQ_3
145,trh3,C,1,CM,,23,0,20150517_PQ_3
146,trh3,C,2,CM,,23,0,20150517_PQ_3
147,trh3,C,3,CM,,23,0,20150517_PQ_3
148,trh3,D,1,CM,,23,0,20150517_PQ_3
149,trh3,D,2,CM,,23,0,20150517_PQ_3
150,trh3,D,3,CM,,23,0,20150517_PQ_3
151,trh4,A,1,CM,,23,0,20150517_PQ_3
152,trh4,A,2,CM,,23,0,20150517_PQ_3
153,trh4,A,3,CM,,23,0,20150517_PQ_3
154,trh4,B,1,CM,,23,0,20150517_PQ_3
155,trh4,B,2,CM,,23,0,20150517_PQ_3
156,trh4,B,3,CM,,23,0,20150517_PQ_3
157,trh4,C,1,CM,,23,0,20150517_PQ_3
158,trh4,C,2,CM,,23,0,20150517_PQ_3
159,trh4,C,3,CM,,23,0,20150517_PQ_3
160,trh4,D,1,CM,,23,0,20150517_PQ_3
161,trh4,D,2,CM,,23,0,20150517_PQ_3
162,trh4,D,3,CM,,23,0,20150517_PQ_3
163,asnC,A,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
164,asnC,A,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
165,asnC,A,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
166,asnC,B,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
167,asnC,B,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
168,asnC,B,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
169,asnC,C,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
170,asnC,C,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
171,asnC,C,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
172,asnC,D,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
173,asnC,D,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
174,asnC,D,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
175,trh2,A,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
176,trh2,A,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
177,trh2,A,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
178,trh2,B,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
179,trh2,B,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
180,trh2,B,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
181,trh2,C,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
182,trh2,C,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
183,trh2,C,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
184,trh2,D,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
185,trh2,D,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
186,trh2,D,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
187,ura3,A,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
188,ura3,A,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
189,ura3,A,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
190,ura3,B,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
191,blank,,,CM,,23,0,20150517_PQ_3
192,ura3,B,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
193,ura3,B,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
194,ura3,C,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
195,ura3,C,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
196,ura3,C,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
197,ura3,D,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
198,ura3,D,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
199,ura3,D,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
200,blank,,,CM,,23,0,20150517_PQ_3
201,blank,,,CM,,23,0,20150517_PQ_3
202,trh3,A,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
203,trh3,A,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
204,trh3,A,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
205,trh3,B,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
206,trh3,B,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
207,trh3,B,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
208,trh3,C,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
209,trh3,C,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
210,blank,,,CM,0.083mM PQ,23,0,20150517_PQ_3
211,trh3,C,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
212,trh3,D,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
213,trh3,D,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
214,trh3,D,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
215,trh4,A,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
216,trh4,A,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
217,trh4,A,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
218,trh4,B,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
219,trh4,B,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
220,trh4,B,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
221,trh4,C,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
222,trh4,C,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
223,trh4,C,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
224,trh4,D,1,CM,0.083mM PQ,23,0.083,20150517_PQ_3
225,trh4,D,2,CM,0.083mM PQ,23,0.083,20150517_PQ_3
226,trh4,D,3,CM,0.083mM PQ,23,0.083,20150517_PQ_3
227,asnC,A,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
228,asnC,A,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
229,asnC,A,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
230,asnC,B,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
231,asnC,B,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
232,asnC,B,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
233,asnC,C,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
234,asnC,C,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
235,asnC,C,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
236,asnC,D,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
237,asnC,D,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
238,asnC,D,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
239,trh2,A,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
240,trh2,A,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
241,trh2,A,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
242,trh2,B,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
243,trh2,B,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
244,trh2,B,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
245,trh2,C,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
246,trh2,C,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
247,trh2,C,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
248,trh2,D,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
249,trh2,D,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
250,trh2,D,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
251,ura3,A,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
252,ura3,A,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
253,ura3,A,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
254,ura3,B,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
255,ura3,B,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
256,ura3,B,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
257,ura3,C,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
258,ura3,C,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
259,ura3,C,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
260,ura3,D,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
261,ura3,D,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
262,ura3,D,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
263,trh3,A,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
264,trh3,A,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
265,trh3,A,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
266,trh3,B,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
267,trh3,B,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
268,trh3,B,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
269,trh3,C,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
270,trh3,C,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
271,trh3,C,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
272,trh3,D,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
273,trh3,D,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
274,trh3,D,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
275,trh4,A,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
276,trh4,A,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
277,trh4,A,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
278,trh4,B,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
279,trh4,B,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
280,trh4,B,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
281,trh4,C,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
282,trh4,C,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
283,trh4,C,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
284,trh4,D,1,CM,0.333mM PQ,23,0.083,20150517_PQ_3
285,trh4,D,2,CM,0.333mM PQ,23,0.083,20150517_PQ_3
286,trh4,D,3,CM,0.333mM PQ,23,0.083,20150517_PQ_3
287,blank,,,CM,,23,0,20150517_PQ_3
288,blank,,,CM,,23,0,20150517_PQ_3
289,blank,,,CM,,23,0,20150517_PQ_3
290,blank,,,CM,,23,0,20150517_PQ_3
291,blank,,,CM,,23,0,20150517_PQ_3
292,blank,,,CM,,23,0,20150517_PQ_3
293,blank,,,CM,,23,0,20150517_PQ_3
294,blank,,,CM,,23,0,20150517_PQ_3
295,blank,,,CM,,23,0,20150517_PQ_3
296,blank,,,CM,,23,0,20150517_PQ_3
297,blank,,,CM,,23,0,20150517_PQ_3
298,blank,,,CM,,23,0,20150517_PQ_3
299,blank,,,CM,,23,0,20150517_PQ_3
300,blank,,,CM,,23,0,20150517_PQ_3
