Well,Strain,Bio,Tech,Media,Condition,Plate Age,mM PQ,plate
101,blank,,,CM,,23,0,20150517_PQ_3
102,asnC,A,1,CM,,23,0,20150517_PQ_3
103,asnC,A,2,CM,,23,0,20150517_PQ_3
104,asnC,A,3,CM,,23,0,20150517_PQ_3
105,asnC,B,1,CM,,23,0,20150517_PQ_3
106,asnC,B,2,CM,,23,0,20150517_PQ_3
107,asnC,B,3,CM,,23,0,20150517_PQ_3
108,asnC,C,1,CM,,23,0,20150517_PQ_3
109,asnC,C,2,CM,,23,0,20150517_PQ_3
110,blank,,,CM,,23,0,20150517_PQ_3
111,asnC,C,3,CM,,23,0,20150517_PQ_3
112,asnC,D,1,CM,,23,0,20150517_PQ_3
113,asnC,D,2,CM,,23,0,20150517_PQ_3
114,asnC,D,3,CM,,23,0,20150517_PQ_3
115,trh2,A,1,CM,,23,0,20150517_PQ_3
116,trh2,A,2,CM,,23,0,20150517_PQ_3
117,trh2,A,3,CM,,23,0,20150517_PQ_3
118,trh2,B,1,CM,,23,0,20150517_PQ_3
119,trh2,B,2,CM,,23,0,20150517_PQ_3
120,trh2,B,3,CM,,23,0,20150517_PQ_3
121,trh2,C,1,CM,,23,0,20150517_PQ_3
122,trh2,C,2,CM,,23,0,20150517_PQ_3
123,trh2,C,3,CM,,23,0,20150517_PQ_3
124,trh2,D,1,CM,,23,0,20150517_PQ_3
125,trh2,D,2,CM,,23,0,20150517_PQ_3
126,trh2,D,3,CM,,23,0,20150517_PQ_3
127,ura3,A,1,CM,,23,0,20150517_PQ_3
128,ura3,A,2,CM,,23,0,20150517_PQ_3
129,ura3,A,3,CM,,23,0,20150517_PQ_3
130,ura3,B,1,CM,,23,0,20150517_PQ_3
131,ura3,B,2,CM,,23,0,20150517_PQ_3
132,ura3,B,3,CM,,23,0,20150517_PQ_3
133,ura3,C,1,CM,,23,0,20150517_PQ_3
134,ura3,C,2,CM,,23,0,20150517_PQ_3
135,ura3,C,3,CM,,23,0,20150517_PQ_3
136,ura3,D,1,CM,,23,0,20150517_PQ_3
137,ura3,D,2,CM,,23,0,20150517_PQ_3
138,ura3,D,3,CM,,23,0,20150517_PQ_3
139,trh3,A,1,CM,,23,0,20150517_PQ_3
140,trh3,A,2,CM,,23,0,20150517_PQ_3
141,trh3,A,3,CM,,23,0,20150517_PQ_3
