ID,HostConc,VirusConc,Key,host_num,virus_num
109,H1E7,_V5E8,H1E7_V5E8,10000000,500000000
110,H1E7,_V5E8,H1E7_V5E8,10000000,500000000
111,H1E7,_V5E8,H1E7_V5E8,10000000,500000000
112,H1E7,_V5E7,H1E7_V5E7,10000000,50000000
113,H1E7,_V5E7,H1E7_V5E7,10000000,50000000
114,H1E7,_V5E7,H1E7_V5E7,10000000,50000000
115,H1E7,_V5E6,H1E7_V5E6,10000000,5000000
116,H1E7,_V5E6,H1E7_V5E6,10000000,5000000
117,H1E7,_V5E6,H1E7_V5E6,10000000,5000000
118,H1E7,_V5E5,H1E7_V5E5,10000000,500000
119,H1E7,_V5E5,H1E7_V5E5,10000000,500000
120,H1E7,_V5E5,H1E7_V5E5,10000000,500000
121,H1E7,_V5E4,H1E7_V5E4,10000000,50000
122,H1E7,_V5E4,H1E7_V5E4,10000000,50000
123,H1E7,_V5E4,H1E7_V5E4,10000000,50000
124,H1E7,_V5E3,H1E7_V5E3,10000000,5000
125,H1E7,_V5E3,H1E7_V5E3,10000000,5000
126,H1E7,_V5E3,H1E7_V5E3,10000000,5000
127,H1E7,_V5E2,H1E7_V5E2,10000000,500
128,H1E7,_V5E2,H1E7_V5E2,10000000,500
129,H1E7,_V5E2,H1E7_V5E2,10000000,500
130,H1E7,_V5E1,H1E7_V5E1,10000000,50
131,H1E7,_V5E1,H1E7_V5E1,10000000,50
132,H1E7,_V5E1,H1E7_V5E1,10000000,50
133,H1E7,_V0E0,H1E7_V0E0,10000000,0
134,H1E7,_V0E0,H1E7_V0E0,10000000,0
135,H1E7,_V0E0,H1E7_V0E0,10000000,0
