,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
lengthscale[1],0.7231614896816964,0.005404638903403021,0.15077356164216182,0.5223373690482546,0.6374409295966855,0.7048100441100875,0.7804448410754515,1.0083726882202515,778.2462237671066,1.0101467232061785
lengthscale[2],1.692931933711703,0.011166262442610536,0.5221166950701084,0.8837936101782449,1.299774865984112,1.613076745770857,2.014253290786431,2.8968830934341963,2186.3490532185965,1.0000133568166847
lengthscale[3],0.9488270981774996,0.005373632693703693,0.20933904212800825,0.6098069785403941,0.8047026486314646,0.9260976704658381,1.0678854743916533,1.408683930826464,1517.6251327074085,1.003419781954603
lengthscale[4],2.18963900448477,0.009649706839534613,0.5365649482716561,1.204690876179535,1.7753369424681082,2.1785324670621233,2.620402587843249,3.108704004012291,3091.835346378177,1.0010879712143108
alpha[1],4.50017179827705,0.037650261432466844,1.8868845146936488,1.6550342267351714,3.1226300524723305,4.178539587831564,5.568770054662638,8.884894987013775,2511.624138682751,1.0018828323880613
alpha[2],2.9390627486852345,0.031352707838374336,1.5621260316080883,0.8104319789226139,1.7986560054670266,2.626020480693368,3.726950787344955,6.871943244432952,2482.458678908264,1.000117611861025
alpha[3],2.725317566137368,0.03913783789486951,1.382079701509033,0.8535964953886694,1.7174762188017187,2.4583525908567054,3.4271550202297547,6.01085937642373,1247.0174102678704,1.0006853636905133
alpha[4],1.1685575572730609,0.023816432712159143,0.7621308797780654,0.22054673059720872,0.6189878473713639,1.0023990617031315,1.5245452498781256,3.0542300337423085,1024.0135247944872,1.006611089694096
sigma,0.6582994075064883,6.570158693518576e-05,0.006091418582735826,0.6464657196164273,0.6541738868030074,0.6583037794555253,0.662293371236944,0.6706979879965236,8595.777566654944,0.9997665818635005
"f_eta[1,1]",-0.338772248009332,0.01064275811376908,0.40436369478340123,-1.239409333322668,-0.5437118316384272,-0.3078696590684912,-0.1202876976166278,0.4216068516381517,1443.5636208164453,1.00121968249163
"f_eta[2,1]",-0.03246145439120508,0.01438204145205979,0.5271969234800227,-1.0690562120639162,-0.37045807785537155,-0.042954261660025424,0.30730065558785724,1.0384407490993541,1343.707255333726,1.0008465459988758
"f_eta[3,1]",-0.05204735463030539,0.014439631403399813,0.5283604283463059,-1.0786168485044694,-0.3895750881902122,-0.062417511934776695,0.2887791728778555,1.0120594352578545,1338.9006508510033,1.0007287037198582
"f_eta[4,1]",-0.04846585454061469,0.014415479260433083,0.5276018901414603,-1.0787559637510447,-0.38479348102837485,-0.059112426224657934,0.29046681275702124,1.0160928895048658,1339.5363839723966,1.0008415471781342
"f_eta[5,1]",-0.035822493987900744,0.007306701350566809,0.2973960461083492,-0.6894620268742186,-0.16008875338674822,-0.02968035525535402,0.09069738133695412,0.597008749978701,1656.6381841093928,1.0003763630170242
"f_eta[6,1]",-0.024709042776471107,0.013279730090294095,0.5489627773679946,-1.1186626187033422,-0.3835555971444102,-0.01931065445841102,0.3365649254319064,1.0558160858986863,1708.8632087426356,1.0009894679655624
"f_eta[7,1]",-0.014534574764988322,0.013289616961956843,0.5489048258352999,-1.1109774961193652,-0.36684502091552407,-0.013962645744567473,0.3436717062915665,1.0805205010613688,1705.9612828867969,1.0007648166314995
"f_eta[8,1]",0.0031672554464436367,0.013296292376704431,0.5505615913552886,-1.079762831673401,-0.3535562208441603,0.006204373092082516,0.36073526252762084,1.1067322670487096,1714.55218615581,1.0009650216874921
"f_eta[1,2]",0.5232225186044417,0.00893105113544887,0.35005460258359655,-0.0715750503463359,0.29604690371255193,0.4918657776928703,0.705552328031781,1.300519927038799,1536.2660476250085,1.005519256321466
"f_eta[2,2]",-0.02527704818014768,0.013625718855796554,0.5619373756170912,-1.1546319245078769,-0.39511701869331545,-0.026580975675172397,0.3496619564717601,1.063211281189051,1700.8146588794336,1.0022438878238729
"f_eta[3,2]",0.4502540629434725,0.014472438587670753,0.5765056782007808,-0.6820192794575471,0.06541841649297707,0.4368654148418787,0.8335141487089617,1.5983907605041474,1586.8056845528283,1.0029697199480385
"f_eta[4,2]",-0.30781979598418036,0.014002118791585557,0.5799351554112098,-1.4690810650864938,-0.6944004121107898,-0.3069446331530955,0.09518891700897741,0.7974562764745002,1715.423506550274,1.002697719319066
"f_eta[5,2]",0.08351013992733072,0.0063863773125356965,0.26139700893294454,-0.47669815269588584,-0.03323240915330346,0.07572367152704944,0.1998460257149296,0.6451043790680658,1675.2980412618567,1.001967274985613
"f_eta[6,2]",0.01860519321124628,0.01241510190699904,0.6035726764742454,-1.1991064016047936,-0.3789228302829284,0.02383838842810428,0.4102432025521734,1.2003219309119069,2363.516099484832,1.000281087681883
"f_eta[7,2]",0.10508058457547856,0.012951575550938857,0.6113963928709399,-1.06972497574181,-0.30883717862771587,0.09544022848211509,0.5009791314824589,1.3254929510391673,2228.4379083922195,1.001261757130217
"f_eta[8,2]",-0.09065903271657202,0.014319141740243752,0.621636012442495,-1.3293359681875059,-0.49703053424750965,-0.07048988410359167,0.3283753909343041,1.059656772656067,1884.6831849434272,0.9998804616695003
"f_eta[1,3]",0.3966691650269379,0.007615804735265145,0.3194590641736845,-0.2668315472664408,0.2118066210666057,0.3962734122620786,0.5838504093099055,1.0490775507364005,1759.5387240921389,1.0007138304150267
"f_eta[2,3]",0.4508206562563661,0.011567573134697511,0.6162286535256436,-0.7291371292353646,0.03696280720969215,0.4373954302627913,0.8634055794866875,1.6917561581060925,2837.914250442172,1.001013948123941
"f_eta[3,3]",-1.0835829531934,0.013465081045102687,0.6837507169292237,-2.4629607508290228,-1.526704560008444,-1.0791883662439976,-0.6232066531851577,0.24081579306204204,2578.562402128247,0.9999813590734785
"f_eta[4,3]",0.8737861058130427,0.012343198419744685,0.6356208980089934,-0.35909512914715086,0.4369529584918894,0.8768550104811128,1.294525760739984,2.1215176413914305,2651.8009034413594,1.0014144467377015
"f_eta[5,3]",0.025405809606403793,0.00761295101578886,0.42535934963559463,-0.8442182110074669,-0.23339797334168008,0.025053084153021668,0.28972214082054704,0.8874268826390583,3121.805890469101,1.0014163344574802
"f_eta[6,3]",0.08032186961391653,0.011231540746495464,0.8241196980212213,-1.5152056737415647,-0.48042958272818403,0.09475877913847658,0.6359210943523719,1.7006844980008125,5383.961125432614,1.0003092905743538
"f_eta[7,3]",0.3213388736437669,0.010790536720407206,0.8146811248101974,-1.2790447546080368,-0.22173808165814346,0.3142651132797909,0.846637853110707,1.9275337307174483,5700.188461553158,0.9992769741804484
"f_eta[8,3]",-0.42377294266109444,0.011029624196722002,0.7934168651079486,-1.950647705142883,-0.9516553966168028,-0.4286073696756689,0.09671386502484003,1.133799207924537,5174.655293026265,0.999819984656711
"f_eta[1,4]",-1.0781394439242238,0.012767481191057315,0.5643867414696897,-2.1928857474205286,-1.432510530849465,-1.0857611448676177,-0.7267622750126422,0.007057869107133871,1954.0836551882821,1.0016586608804166
"f_eta[2,4]",-0.388576382783205,0.011771218590096449,0.7780177991612162,-1.8419437539864791,-0.923293583587616,-0.3861964467030438,0.13841071122024326,1.1705617259996604,4368.53899048526,0.9994672010367778
"f_eta[3,4]",0.5798348062613266,0.019138004141813166,0.9124927286148317,-1.2232537251683624,-0.05131152175935938,0.5836030995771809,1.1990448665050428,2.3590376321334676,2273.345981847745,1.0001755420304574
"f_eta[4,4]",-0.4465442546834413,0.012931052678953467,0.803275941573797,-1.9828043598584144,-1.0002566681281442,-0.43883092722980366,0.08052595593953356,1.1596836558795607,3858.884303635352,0.999509421515639
"f_eta[5,4]",0.06520065813696259,0.012299486018194947,0.8158456689600857,-1.5101958670559374,-0.46619674859583093,0.043880910255291616,0.6053701805564502,1.731023116009357,4399.892831212373,1.0007163648207926
"f_eta[6,4]",0.03941153177773442,0.010493705647966233,0.941048411127242,-1.7812688319885086,-0.6004165498633642,0.038543987620284284,0.664067744443517,1.8864771523593078,8042.0390148374645,0.999263457331894
"f_eta[7,4]",0.10768909440743167,0.011474756663988674,1.0064584267496,-1.8701894545166386,-0.555631143102425,0.10571662318975406,0.7762982698266239,2.1375808818048987,7693.159058400763,0.9993342520757621
"f_eta[8,4]",-0.10067326264147189,0.01121030301708252,0.991784964665506,-2.0241924251983026,-0.7562866469499407,-0.11014179890527198,0.5649472487839313,1.789795544804461,7827.090163074905,0.9996562497844806
"f_eta[1,5]",0.7056041925261536,0.013223783881328447,0.7337259008783353,-0.7242370375676378,0.21927662971967943,0.7227904578686568,1.185465627025495,2.135383215615374,3078.620908472947,0.9998884567387109
"f_eta[2,5]",-0.1640160702950059,0.011601131264138562,0.8860844363697128,-1.942295783096038,-0.7592431388588562,-0.15502942456877028,0.45025916116886205,1.525771918731377,5833.773124417339,0.9993894492009768
"f_eta[3,5]",0.8257112268018132,0.011557519197369926,0.8794179789654367,-0.8635505706668472,0.23405146492003945,0.8138033587526162,1.3970447255739513,2.589413308920512,5789.7716228872805,0.999632200674411
"f_eta[4,5]",-0.4416873877341422,0.012589429040319965,0.9028625392512286,-2.2340513103969877,-1.048358300396991,-0.42494117949212745,0.16179309172670875,1.3052744622905859,5143.173789264583,0.9992267513008349
"f_eta[5,5]",0.10516656831693985,0.011077044759922801,0.9382885718320868,-1.7447500173044856,-0.534901968546108,0.10934716942842625,0.7193072714891748,1.9059013304611647,7175.051659188862,0.9994946257920765
"f_eta[6,5]",0.005770677726210516,0.01300764620779438,1.002005723786125,-1.910313394882087,-0.6645453906698626,-0.011440976933808633,0.6560397135033109,1.9763120519302495,5933.93756487777,0.9996803573327172
"f_eta[7,5]",0.01935049732669203,0.01144350381960707,1.0011416690163126,-1.912229136489564,-0.6708448384509961,0.03488728577678009,0.700736827396947,1.9353215245107351,7653.728238859422,0.9997196424660515
"f_eta[8,5]",-0.011619105303721431,0.011797916873550033,1.002701755018427,-1.9564971423152024,-0.6967596815764769,-0.013985738250623707,0.6549866659044135,1.9779475127220012,7223.253994732698,0.9997523908286748
"f_eta[1,6]",0.5768284704622934,0.012577074796077557,0.8237487124996771,-1.0418370641666488,0.026243139805087162,0.5664003137170648,1.1236063639899392,2.229436240123571,4289.732490634697,1.0004931710731415
"f_eta[2,6]",0.012056526464437636,0.01358134731495865,0.9863566464083459,-1.9622131257849487,-0.6196134060443672,0.027507056009646126,0.6778325403203036,1.9311352193323748,5274.511452072491,0.9999308998807039
"f_eta[3,6]",0.3789748920916584,0.013027579768016216,0.9632559045913722,-1.509256078769567,-0.2693119545876535,0.3709340108884711,1.034582925346948,2.2772116912066953,5467.085647487978,0.9999241652047168
"f_eta[4,6]",-0.19063133898087764,0.011228433788556888,0.9663087829609376,-2.1152947300816174,-0.8353087522151776,-0.19883747175775318,0.4693973143271801,1.707574665567221,7406.16680289625,0.9994721508732448
"f_eta[5,6]",0.05099110161305481,0.01152911300945128,0.9882190925768175,-1.891911637287699,-0.6447464408351129,0.0741415899715156,0.7308696158619862,1.9686133883428825,7347.078636556072,0.9999648104096328
"f_eta[6,6]",-0.008098493006665293,0.010056826353646969,0.9983687149519546,-1.883027935119266,-0.7031034735666055,-0.003554588630577056,0.6796604966647082,1.8996268939638568,9855.077047697105,0.99919595071782
"f_eta[7,6]",0.0008873173580719981,0.011160820695373056,1.006886943760563,-1.983885963971604,-0.6643807048080215,0.02624263858950958,0.6860246240166079,1.9455891300638082,8138.964548937556,0.9996179735442647
"f_eta[8,6]",0.0017897651183954389,0.012295909903247079,0.9651698957840393,-1.8941782041423492,-0.6466265965227662,0.010884893450578855,0.6518411295272009,1.905360857301717,6161.4962793610575,0.9996559048472529
"f_eta[1,7]",0.15481200475442577,0.011765700816459066,0.9513658248543001,-1.6942662559908659,-0.49210786500002335,0.1454894581875264,0.8099692487589703,2.0282604191031273,6538.219425426398,0.9994527224876701
"f_eta[2,7]",0.023311502326161103,0.011299521593208746,1.0275121881896463,-1.988014712677016,-0.6446245150274181,0.0305515396760208,0.7094164857554308,2.0124181186752974,8269.01636413779,0.9994253786477699
"f_eta[3,7]",0.07830881115538384,0.012576568149002043,0.9976080956689668,-1.8724569168270537,-0.5740108869077154,0.07333052961966258,0.7338198476756985,2.103909853494468,6292.100238401428,0.9996519281775742
"f_eta[4,7]",-0.04662467295422142,0.011788378459664763,1.0124130049584745,-2.0445973210277293,-0.7355724824612611,-0.04292107850339008,0.6337609207191287,1.9426470369029745,7375.768718520262,0.9993241739938336
"f_eta[5,7]",0.010808149149533791,0.011198023090241106,0.9863558662259541,-1.9299973907641805,-0.6528618814406575,0.013498867982954191,0.6761516218731349,1.928229863993467,7758.621156084302,0.9995687702197639
"f_eta[6,7]",-0.011191656696152146,0.010935801063773273,0.9809720884784993,-1.9370431711246443,-0.6777475060796133,-0.008021450292354532,0.6618251721043716,1.9248828860188876,8046.594178610166,0.9993698692780663
"f_eta[7,7]",0.018039052490942627,0.012391426887905227,1.0060282632401107,-1.9473385290044227,-0.6649561767623298,0.0018553044765499582,0.6847921345822674,2.0661124245082316,6591.400888949037,0.9995979901535809
"f_eta[8,7]",0.006850926872711644,0.01081677633384429,0.9952532456754584,-1.9430184113929034,-0.6576296432093094,0.00035859950893743183,0.6794708102138417,2.0264923242244826,8465.86825902463,0.9998006549697042
"f_eta[1,8]",0.03016532754762793,0.011325504692400663,1.0247895871155892,-1.965043227656099,-0.6837220510570156,0.04397609988126518,0.7300057393949888,2.0468280098425287,8187.555918169635,0.9992204034471334
"f_eta[2,8]",0.02867192776675149,0.011086946223575528,0.985997826783274,-1.936519626722347,-0.6128740104609025,0.032797858895472876,0.6954401860081568,1.967180854338536,7909.117605993924,0.9997006481064229
"f_eta[3,8]",0.03511668514736161,0.010350537676074282,0.9976029107407363,-1.8892142586165033,-0.6154842186493268,0.04230165933623704,0.7105779696557526,1.9691159573233605,9289.441287583382,0.9991316419783712
"f_eta[4,8]",-0.018180393177954484,0.011346275195249231,1.0078667473763936,-1.976458528635257,-0.7148691228537529,-0.024332248888445027,0.6737078371859728,1.9077870172776,7890.410676888248,0.9995393606415489
"f_eta[5,8]",0.011187703989371224,0.011424752608467632,0.9938427818998822,-1.929682116013847,-0.6590566225689236,0.012647050805103423,0.673312095723006,1.9330801806703066,7567.314198606005,0.9994064642734618
"f_eta[6,8]",-0.0045776153910560315,0.011871605705485493,0.9971586224658812,-1.9944737686741258,-0.6776017557816254,-0.012142520522222616,0.650632938095256,2.020010768904981,7055.203909295021,0.9994611967217397
"f_eta[7,8]",0.010276897286515485,0.011328590771953116,0.9826648727282684,-1.8977925958731607,-0.634714414084782,0.009312667351723916,0.6530059803264345,1.987779245768917,7524.178422891887,0.9992979876142987
"f_eta[8,8]",0.0009167884661353216,0.010829017466554274,0.9984084610110127,-1.975631971260955,-0.6750369322158862,-0.005077730908845489,0.6703816281112462,1.9715494710133987,8500.381103033216,0.9992794435640479
"f_eta[1,9]",0.0318497291495946,0.011697893968723255,0.9855794193207342,-1.8674917727282456,-0.6379353595825827,0.023466199988380166,0.7150892929525972,1.9522107828930486,7098.521319813926,0.9996628249970985
"f_eta[2,9]",0.000820214316661394,0.010901713452012565,0.9745149309365756,-1.9077210771128268,-0.6398702586945296,-0.01193244865980299,0.666426144441964,1.9198958909215165,7990.748646539019,0.999663121902367
"f_eta[3,9]",-0.006234163000305898,0.010361681575754381,0.9863484225355695,-1.9649026086365566,-0.6452571690689886,-0.0028909061118822395,0.6466835647367519,1.9125013020307589,9061.502715705374,0.9996144730442496
"f_eta[4,9]",0.009273714312024851,0.01140569648566237,0.9591053814517536,-1.8893588532230625,-0.6329323156660411,0.007322508220504707,0.6446423206415999,1.9289976615723816,7071.133466870035,0.9993027817221957
"f_eta[5,9]",-0.006750685595355675,0.011906447054321794,1.047847313178652,-2.03844495496589,-0.7002900931705012,-0.013373316415313617,0.678913154076946,2.0951316765460186,7745.182189715847,0.9994463683491368
"f_eta[6,9]",0.008724868780138012,0.012144832474979451,0.9804337549180372,-1.9157953056412802,-0.6688078207805446,0.0005025784536279194,0.690811842904798,1.93096824242512,6517.086012207425,0.999467120096108
"f_eta[7,9]",0.00014339768176603585,0.010754870690225925,0.9915848522197609,-1.9392140219461322,-0.6963239316845411,0.014124690536592778,0.7003489129009757,1.895784198665805,8500.59609669925,0.9995218480705977
"f_eta[8,9]",-0.01394369070872206,0.01323368302672214,1.0231484389097552,-2.030060366255592,-0.7023631861511995,-0.013578036716403038,0.7047409800787374,1.9760777580829942,5977.448396031643,0.9999710621647707
"f_eta[1,10]",0.004996357389812274,0.011410389301971692,0.9754543248213439,-1.9189067299739042,-0.6771694106399362,0.006888728596218386,0.6747298737757608,1.9349712462009505,7308.2425599648495,0.9994450727431778
"f_eta[2,10]",-0.021838124947133202,0.012044417523647587,1.0221993751463962,-2.0412828287458673,-0.7055274712509902,-0.019100841989157978,0.6594689144285182,1.9488870866239423,7202.771179607542,0.9997286641623002
"f_eta[3,10]",-0.018319027271614708,0.011172188909758985,1.0120866243448627,-2.012558736051916,-0.6914249350088061,-0.021934251333040215,0.6505927584821245,1.999008113836118,8206.51616880899,0.9995810234173699
"f_eta[4,10]",-0.006272098896859703,0.011663960313140626,1.0072619275997037,-1.9735236367570679,-0.6646452237548623,-0.001222655362425947,0.6328377959175677,2.0327072351171993,7457.491570075633,0.999453610136111
"f_eta[5,10]",-0.002132467361153165,0.011915467008764174,0.9936535733572164,-1.9091670296557828,-0.6774015248633668,-0.008260152802506464,0.6680404643855036,1.9685535501920925,6954.210946751958,0.9993415686673048
"f_eta[6,10]",-0.00912234966409171,0.013295457378971238,1.0107656433088819,-1.9913732494984073,-0.7090209176669398,0.00028487986350962636,0.699346090882946,1.960602296426764,5779.5547036083,0.9996299555400606
"f_eta[7,10]",-9.438346647859319e-05,0.01218126692075773,0.9957260474942579,-1.9734782441029581,-0.666133598438652,-2.3625035593588615e-05,0.664727640073032,1.9902593512044375,6681.8206872036735,0.9999929558680262
"f_eta[8,10]",0.007269809530391463,0.012451915586601598,1.0165522613255644,-1.9864500759218409,-0.6861142411293004,0.022337194211145356,0.7024631329797197,1.9507018542848051,6664.799453147576,0.9993073709450451
"f[1,1]",-1.316503394098019,0.04097977755851498,1.5199209276442016,-4.489270663342644,-2.110153255020701,-1.3116515936226545,-0.5315483188447333,1.805087449554263,1375.633667328633,1.0003988917424478
"f[2,1]",-0.07813793913486018,0.04090929898399313,1.5208041928937777,-3.2165523254770125,-0.866420784339633,-0.08466540763474817,0.717187713369767,3.099999064217061,1381.9824481858636,1.0003867604112926
"f[3,1]",-0.1223845336444301,0.041065032779982566,1.5219227079440985,-3.2619654713314334,-0.905568835653549,-0.13209435467299996,0.6750396341273859,3.0686855231968124,1373.5385291646837,1.000351993821011
"f[4,1]",-0.11050498100623343,0.040967852499236575,1.5203922492532844,-3.2342715332382905,-0.897784927927831,-0.12149859428636817,0.6767666261289751,3.042996448079533,1377.2884184498148,1.0003593912305733
"f[5,1]",-0.07298452618269556,0.016564807217462316,0.6818361637966782,-1.52859366506443,-0.4024047202904497,-0.07652260414311142,0.25247603112237177,1.4123852925983456,1694.2882233827156,1.0000457650901429
"f[6,1]",-0.02053221436911984,0.016529365214957372,0.6825076482602985,-1.5261141445104127,-0.3455907508591684,-0.012285857404868764,0.30650698333489024,1.4307945171422434,1704.91485198161,1.0000318290636134
"f[7,1]",-0.0122025735661681,0.016611096295057515,0.6825301649805501,-1.4812471700366774,-0.33455770222891557,-0.010315987407581263,0.3186024899915739,1.4504975512699532,1688.2902350926975,1.0000394691067638
