Well,Strain,Bio,Tech,Media,Condition,Plate Age,mM PQ,plate
101,blank,,,CM,,41,0,20150607_PQ_4
102,rosR,A,1,CM,,41,0,20150607_PQ_4
103,rosR,A,2,CM,,41,0,20150607_PQ_4
104,rosR,A,3,CM,,41,0,20150607_PQ_4
105,rosR,B,1,CM,,41,0,20150607_PQ_4
106,rosR,B,2,CM,,41,0,20150607_PQ_4
107,rosR,B,3,CM,,41,0,20150607_PQ_4
108,rosR,C,1,CM,,41,0,20150607_PQ_4
109,rosR,C,2,CM,,41,0,20150607_PQ_4
110,blank,,,CM,,41,0,20150607_PQ_4
111,rosR,C,3,CM,,41,0,20150607_PQ_4
112,rosR,D,1,CM,,41,0,20150607_PQ_4
113,rosR,D,2,CM,,41,0,20150607_PQ_4
114,rosR,D,3,CM,,41,0,20150607_PQ_4
115,VNG0194H,A,1,CM,,41,0,20150607_PQ_4
116,VNG0194H,A,2,CM,,41,0,20150607_PQ_4
117,VNG0194H,A,3,CM,,41,0,20150607_PQ_4
118,VNG0194H,B,1,CM,,41,0,20150607_PQ_4
119,VNG0194H,B,2,CM,,41,0,20150607_PQ_4
120,VNG0194H,B,3,CM,,41,0,20150607_PQ_4
121,VNG0194H,C,1,CM,,41,0,20150607_PQ_4
122,VNG0194H,C,2,CM,,41,0,20150607_PQ_4
123,VNG0194H,C,3,CM,,41,0,20150607_PQ_4
124,VNG0194H,D,1,CM,,41,0,20150607_PQ_4
125,VNG0194H,D,2,CM,,41,0,20150607_PQ_4
126,VNG0194H,D,3,CM,,41,0,20150607_PQ_4
127,hrg,A,1,CM,,41,0,20150607_PQ_4
128,hrg,A,2,CM,,41,0,20150607_PQ_4
129,hrg,A,3,CM,,41,0,20150607_PQ_4
130,hrg,B,1,CM,,41,0,20150607_PQ_4
131,hrg,B,2,CM,,41,0,20150607_PQ_4
132,hrg,B,3,CM,,41,0,20150607_PQ_4
133,hrg,C,1,CM,,41,0,20150607_PQ_4
134,hrg,C,2,CM,,41,0,20150607_PQ_4
135,hrg,C,3,CM,,41,0,20150607_PQ_4
136,hrg,D,1,CM,,41,0,20150607_PQ_4
137,hrg,D,2,CM,,41,0,20150607_PQ_4
138,hrg,D,3,CM,,41,0,20150607_PQ_4
139,ura3,A,1,CM,,41,0,20150607_PQ_4
140,ura3,A,2,CM,,41,0,20150607_PQ_4
141,ura3,A,3,CM,,41,0,20150607_PQ_4
142,ura3,B,1,CM,,41,0,20150607_PQ_4
143,ura3,B,2,CM,,41,0,20150607_PQ_4
144,ura3,B,3,CM,,41,0,20150607_PQ_4
145,ura3,C,1,CM,,41,0,20150607_PQ_4
146,ura3,C,2,CM,,41,0,20150607_PQ_4
147,ura3,C,3,CM,,41,0,20150607_PQ_4
148,ura3,D,1,CM,,41,0,20150607_PQ_4
149,ura3,D,2,CM,,41,0,20150607_PQ_4
150,ura3,D,3,CM,,41,0,20150607_PQ_4
151,hlx2,A,1,CM,,41,0,20150607_PQ_4
152,hlx2,A,2,CM,,41,0,20150607_PQ_4
153,hlx2,A,3,CM,,41,0,20150607_PQ_4
154,hlx2,B,1,CM,,41,0,20150607_PQ_4
155,hlx2,B,2,CM,,41,0,20150607_PQ_4
156,hlx2,B,3,CM,,41,0,20150607_PQ_4
157,hlx2,C,1,CM,,41,0,20150607_PQ_4
158,hlx2,C,2,CM,,41,0,20150607_PQ_4
159,hlx2,C,3,CM,,41,0,20150607_PQ_4
160,hlx2,D,1,CM,,41,0,20150607_PQ_4
161,hlx2,D,2,CM,,41,0,20150607_PQ_4
162,hlx2,D,3,CM,,41,0,20150607_PQ_4
163,rosR,A,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
164,rosR,A,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
165,rosR,A,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
166,rosR,B,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
167,rosR,B,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
168,rosR,B,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
169,rosR,C,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
170,rosR,C,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
171,rosR,C,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
172,rosR,D,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
173,rosR,D,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
174,rosR,D,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
175,VNG0194H,A,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
176,VNG0194H,A,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
177,VNG0194H,A,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
178,VNG0194H,B,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
179,VNG0194H,B,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
180,VNG0194H,B,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
181,VNG0194H,C,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
182,VNG0194H,C,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
183,VNG0194H,C,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
184,VNG0194H,D,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
185,VNG0194H,D,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
186,VNG0194H,D,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
187,hrg,A,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
188,hrg,A,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
189,hrg,A,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
190,hrg,B,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
191,blank,,,CM,,41,0,20150607_PQ_4
192,hrg,B,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
193,hrg,B,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
194,hrg,C,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
195,hrg,C,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
196,hrg,C,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
197,hrg,D,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
198,hrg,D,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
199,hrg,D,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
200,blank,,,CM,,41,0,20150607_PQ_4
201,blank,,,CM,,41,0,20150607_PQ_4
202,ura3,A,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
203,ura3,A,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
204,ura3,A,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
205,ura3,B,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
206,ura3,B,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
207,ura3,B,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
208,ura3,C,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
209,ura3,C,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
210,blank,,,CM,0.083mM PQ,41,0.083,20150607_PQ_4
211,ura3,C,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
212,ura3,D,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
213,ura3,D,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
214,ura3,D,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
215,hlx2,A,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
216,hlx2,A,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
217,hlx2,A,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
218,hlx2,B,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
219,hlx2,B,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
220,hlx2,B,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
221,hlx2,C,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
222,hlx2,C,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
223,hlx2,C,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
224,hlx2,D,1,CM,0.083mM PQ,41,0.083,20150607_PQ_4
225,hlx2,D,2,CM,0.083mM PQ,41,0.083,20150607_PQ_4
226,hlx2,D,3,CM,0.083mM PQ,41,0.083,20150607_PQ_4
227,rosR,A,1,CM,0.333mM PQ,41,0.083,20150607_PQ_4
228,rosR,A,2,CM,0.333mM PQ,41,0.083,20150607_PQ_4
229,rosR,A,3,CM,0.333mM PQ,41,0.083,20150607_PQ_4
230,rosR,B,1,CM,0.333mM PQ,41,0.083,20150607_PQ_4
231,rosR,B,2,CM,0.333mM PQ,41,0.083,20150607_PQ_4
232,rosR,B,3,CM,0.333mM PQ,41,0.083,20150607_PQ_4
233,rosR,C,1,CM,0.333mM PQ,41,0.083,20150607_PQ_4
234,rosR,C,2,CM,0.333mM PQ,41,0.083,20150607_PQ_4
235,rosR,C,3,CM,0.333mM PQ,41,0.083,20150607_PQ_4
236,rosR,D,1,CM,0.333mM PQ,41,0.083,20150607_PQ_4
237,rosR,D,2,CM,0.333mM PQ,41,0.083,20150607_PQ_4
238,rosR,D,3,CM,0.333mM PQ,41,0.083,20150607_PQ_4
239,VNG0194H,A,1,CM,0.333mM PQ,41,0.083,20150607_PQ_4
240,VNG0194H,A,2,CM,0.333mM PQ,41,0.083,20150607_PQ_4
