ID,HostConc,VirusConc,Key,host_num,virus_num
163,H5E7,_V5E8,H5E7_V5E8,50000000,500000000
164,H5E7,_V5E8,H5E7_V5E8,50000000,500000000
165,H5E7,_V5E8,H5E7_V5E8,50000000,500000000
166,H5E7,_V5E7,H5E7_V5E7,50000000,50000000
167,H5E7,_V5E7,H5E7_V5E7,50000000,50000000
168,H5E7,_V5E7,H5E7_V5E7,50000000,50000000
169,H5E7,_V5E6,H5E7_V5E6,50000000,5000000
170,H5E7,_V5E6,H5E7_V5E6,50000000,5000000
171,H5E7,_V5E6,H5E7_V5E6,50000000,5000000
172,H5E7,_V5E5,H5E7_V5E5,50000000,500000
173,H5E7,_V5E5,H5E7_V5E5,50000000,500000
174,H5E7,_V5E5,H5E7_V5E5,50000000,500000
175,H5E7,_V5E4,H5E7_V5E4,50000000,50000
176,H5E7,_V5E4,H5E7_V5E4,50000000,50000
177,H5E7,_V5E4,H5E7_V5E4,50000000,50000
178,H5E7,_V5E3,H5E7_V5E3,50000000,5000
179,H5E7,_V5E3,H5E7_V5E3,50000000,5000
180,H5E7,_V5E3,H5E7_V5E3,50000000,5000
181,H5E7,_V5E2,H5E7_V5E2,50000000,500
182,H5E7,_V5E2,H5E7_V5E2,50000000,500
183,H5E7,_V5E2,H5E7_V5E2,50000000,500
184,H5E7,_V5E1,H5E7_V5E1,50000000,50
185,H5E7,_V5E1,H5E7_V5E1,50000000,50
186,H5E7,_V5E1,H5E7_V5E1,50000000,50
187,H5E7,_V0E0,H5E7_V0E0,50000000,0
188,H5E7,_V0E0,H5E7_V0E0,50000000,0
189,H5E7,_V0E0,H5E7_V0E0,50000000,0
