Well,Strain,Bio,Tech,Media,Condition,Plate Age,mM PQ,plate
159,birA,C,3,CM,,23,0,20150702_PQ_6
160,birA,D,1,CM,,23,0,20150702_PQ_6
161,birA,D,2,CM,,23,0,20150702_PQ_6
162,birA,D,3,CM,,23,0,20150702_PQ_6
163,hlx1,A,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
164,hlx1,A,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
165,hlx1,A,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
166,hlx1,B,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
167,hlx1,B,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
168,hlx1,B,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
169,hlx1,C,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
170,hlx1,C,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
171,hlx1,C,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
172,hlx1,D,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
173,hlx1,D,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
174,hlx1,D,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
175,ura3,A,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
176,ura3,A,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
177,ura3,A,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
178,ura3,B,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
179,ura3,B,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
180,ura3,B,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
181,ura3,C,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
182,ura3,C,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
183,ura3,C,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
184,ura3,D,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
185,ura3,D,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
186,ura3,D,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
187,kaiC,A,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
188,kaiC,A,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
189,kaiC,A,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
190,kaiC,B,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
191,blank,,,CM,,23,0,20150702_PQ_6
192,kaiC,B,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
193,kaiC,B,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
194,kaiC,C,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
195,kaiC,C,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
196,kaiC,C,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
197,kaiC,D,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
198,kaiC,D,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
199,kaiC,D,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
200,blank,,,CM,,23,0,20150702_PQ_6
201,blank,,,CM,,23,0,20150702_PQ_6
202,arcR,A,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
203,arcR,A,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
204,arcR,A,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
205,arcR,B,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
206,arcR,B,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
207,arcR,B,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
208,arcR,C,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
209,arcR,C,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
210,blank,,,CM,0.083mM PQ,23,0,20150702_PQ_6
211,arcR,C,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
212,arcR,D,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
213,arcR,D,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
214,arcR,D,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
215,birA,A,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
216,birA,A,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
217,birA,A,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
218,birA,B,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
219,birA,B,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
220,birA,B,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
221,birA,C,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
222,birA,C,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
223,birA,C,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
224,birA,D,1,CM,0.083mM PQ,23,0.083,20150702_PQ_6
225,birA,D,2,CM,0.083mM PQ,23,0.083,20150702_PQ_6
226,birA,D,3,CM,0.083mM PQ,23,0.083,20150702_PQ_6
227,hlx1,A,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
228,hlx1,A,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
229,hlx1,A,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
230,hlx1,B,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
231,hlx1,B,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
232,hlx1,B,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
233,hlx1,C,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
234,hlx1,C,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
235,hlx1,C,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
236,hlx1,D,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
237,hlx1,D,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
238,hlx1,D,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
239,ura3,A,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
240,ura3,A,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
241,ura3,A,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
242,ura3,B,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
243,ura3,B,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
244,ura3,B,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
245,ura3,C,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
246,ura3,C,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
247,ura3,C,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
248,ura3,D,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
249,ura3,D,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
250,ura3,D,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
251,kaiC,A,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
252,kaiC,A,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
253,kaiC,A,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
254,kaiC,B,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
255,kaiC,B,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
256,kaiC,B,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
257,kaiC,C,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
258,kaiC,C,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
259,kaiC,C,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
260,kaiC,D,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
261,kaiC,D,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
262,kaiC,D,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
263,arcR,A,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
264,arcR,A,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
265,arcR,A,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
266,arcR,B,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
267,arcR,B,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
268,arcR,B,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
269,arcR,C,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
270,arcR,C,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
271,arcR,C,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
272,arcR,D,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
273,arcR,D,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
274,arcR,D,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
275,birA,A,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
276,birA,A,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
277,birA,A,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
278,birA,B,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
279,birA,B,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
280,birA,B,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
281,birA,C,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
282,birA,C,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
283,birA,C,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
284,birA,D,1,CM,0.333mM PQ,23,0.083,20150702_PQ_6
285,birA,D,2,CM,0.333mM PQ,23,0.083,20150702_PQ_6
286,birA,D,3,CM,0.333mM PQ,23,0.083,20150702_PQ_6
287,blank,,,CM,,23,0,20150702_PQ_6
288,blank,,,CM,,23,0,20150702_PQ_6
289,blank,,,CM,,23,0,20150702_PQ_6
290,blank,,,CM,,23,0,20150702_PQ_6
291,blank,,,CM,,23,0,20150702_PQ_6
292,blank,,,CM,,23,0,20150702_PQ_6
293,blank,,,CM,,23,0,20150702_PQ_6
294,blank,,,CM,,23,0,20150702_PQ_6
295,blank,,,CM,,23,0,20150702_PQ_6
296,blank,,,CM,,23,0,20150702_PQ_6
297,blank,,,CM,,23,0,20150702_PQ_6
298,blank,,,CM,,23,0,20150702_PQ_6
299,blank,,,CM,,23,0,20150702_PQ_6
300,blank,,,CM,,23,0,20150702_PQ_6
