Well,Strain,Bio,Tech,Media,Condition,Plate Age,mM PQ,plate
101,blank,,,CM,,23,0,20150702_PQ_6
102,hlx1,A,1,CM,,23,0,20150702_PQ_6
103,hlx1,A,2,CM,,23,0,20150702_PQ_6
104,hlx1,A,3,CM,,23,0,20150702_PQ_6
105,hlx1,B,1,CM,,23,0,20150702_PQ_6
106,hlx1,B,2,CM,,23,0,20150702_PQ_6
107,hlx1,B,3,CM,,23,0,20150702_PQ_6
108,hlx1,C,1,CM,,23,0,20150702_PQ_6
109,hlx1,C,2,CM,,23,0,20150702_PQ_6
110,blank,,,CM,,23,0,20150702_PQ_6
111,hlx1,C,3,CM,,23,0,20150702_PQ_6
112,hlx1,D,1,CM,,23,0,20150702_PQ_6
113,hlx1,D,2,CM,,23,0,20150702_PQ_6
114,hlx1,D,3,CM,,23,0,20150702_PQ_6
115,ura3,A,1,CM,,23,0,20150702_PQ_6
116,ura3,A,2,CM,,23,0,20150702_PQ_6
117,ura3,A,3,CM,,23,0,20150702_PQ_6
118,ura3,B,1,CM,,23,0,20150702_PQ_6
119,ura3,B,2,CM,,23,0,20150702_PQ_6
120,ura3,B,3,CM,,23,0,20150702_PQ_6
121,ura3,C,1,CM,,23,0,20150702_PQ_6
122,ura3,C,2,CM,,23,0,20150702_PQ_6
123,ura3,C,3,CM,,23,0,20150702_PQ_6
124,ura3,D,1,CM,,23,0,20150702_PQ_6
125,ura3,D,2,CM,,23,0,20150702_PQ_6
126,ura3,D,3,CM,,23,0,20150702_PQ_6
127,kaiC,A,1,CM,,23,0,20150702_PQ_6
128,kaiC,A,2,CM,,23,0,20150702_PQ_6
129,kaiC,A,3,CM,,23,0,20150702_PQ_6
130,kaiC,B,1,CM,,23,0,20150702_PQ_6
131,kaiC,B,2,CM,,23,0,20150702_PQ_6
132,kaiC,B,3,CM,,23,0,20150702_PQ_6
133,kaiC,C,1,CM,,23,0,20150702_PQ_6
134,kaiC,C,2,CM,,23,0,20150702_PQ_6
135,kaiC,C,3,CM,,23,0,20150702_PQ_6
136,kaiC,D,1,CM,,23,0,20150702_PQ_6
137,kaiC,D,2,CM,,23,0,20150702_PQ_6
138,kaiC,D,3,CM,,23,0,20150702_PQ_6
139,arcR,A,1,CM,,23,0,20150702_PQ_6
140,arcR,A,2,CM,,23,0,20150702_PQ_6
141,arcR,A,3,CM,,23,0,20150702_PQ_6
142,arcR,B,1,CM,,23,0,20150702_PQ_6
143,arcR,B,2,CM,,23,0,20150702_PQ_6
144,arcR,B,3,CM,,23,0,20150702_PQ_6
145,arcR,C,1,CM,,23,0,20150702_PQ_6
146,arcR,C,2,CM,,23,0,20150702_PQ_6
147,arcR,C,3,CM,,23,0,20150702_PQ_6
148,arcR,D,1,CM,,23,0,20150702_PQ_6
149,arcR,D,2,CM,,23,0,20150702_PQ_6
150,arcR,D,3,CM,,23,0,20150702_PQ_6
151,birA,A,1,CM,,23,0,20150702_PQ_6
152,birA,A,2,CM,,23,0,20150702_PQ_6
153,birA,A,3,CM,,23,0,20150702_PQ_6
154,birA,B,1,CM,,23,0,20150702_PQ_6
155,birA,B,2,CM,,23,0,20150702_PQ_6
156,birA,B,3,CM,,23,0,20150702_PQ_6
157,birA,C,1,CM,,23,0,20150702_PQ_6
158,birA,C,2,CM,,23,0,20150702_PQ_6
