,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
lengthscale[1],0.471234915304944,0.0018921484185241981,0.08330700100286408,0.3228656765386003,0.4139602576937545,0.46580244979493945,0.5241530201183767,0.6491470221337465,1938.4410700169772,1.0024579378746323
lengthscale[2],2.1867423850624768,0.05473518324068029,2.2510882065963465,0.37635772410584467,0.8871966287126646,1.4459482871143972,2.56038724046194,8.610003377342789,1691.421601518165,1.0007481922426273
alpha[1],1.1974391698234108,0.014743860641551497,0.5374409169395369,0.561593942483,0.836345029033297,1.0651262335620388,1.3979257657832669,2.643302370257824,1328.7369748891363,1.0054329003567222
alpha[2],0.35401604714050955,0.009300549685870747,0.38842829890451874,0.04680041926251843,0.11493027680373369,0.21882557515946374,0.4367109670183162,1.4272265203051728,1744.2329697162857,1.0009262059287674
sigma,0.6663026859478522,7.236890053051731e-05,0.006168353887174585,0.6540957683340807,0.6621442149837073,0.6662254847176461,0.6704508220019896,0.6784937200031758,7264.983201512617,0.9993415853654873
"f_eta[1,1]",-1.373656827776937,0.013707467722819531,0.503943211305047,-2.493238846986813,-1.685175960481823,-1.3210327630980898,-1.004436276498135,-0.5406525748202029,1351.6017158222612,1.006725138942874
"f_eta[2,1]",-0.47883968984024283,0.011495065526231776,0.4049343605946578,-1.5807141427743807,-0.6487518207247497,-0.35707482423560927,-0.18108132244460318,-0.05475867910619524,1240.927354365431,1.0017850473145153
"f_eta[1,2]",1.173655932170357,0.0102608470049318,0.40661266895132914,0.513770492104829,0.8859687054340857,1.1245720612204724,1.4095483472553507,2.08116954230853,1570.3461270093553,1.0034906575380695
"f_eta[2,2]",0.8564642294373916,0.01244993284861143,0.6467596656658482,-0.2967943469820777,0.4204043723521651,0.8007387388462935,1.2589661653651518,2.2216529298367487,2698.682779344846,1.0018817466025507
"f_eta[1,3]",0.6872617436844446,0.007140837633037577,0.3321014031886318,0.09036790280536541,0.45883262114272805,0.6690057149718589,0.8939786455464449,1.4059308130731547,2162.9331884464414,1.0007952067072932
"f_eta[2,3]",0.4384242034138933,0.012987803439483364,0.8535059111851246,-1.192819317770386,-0.1252535015238871,0.41788422274163184,0.998023970666004,2.1734986919948525,4318.58679020907,0.9996254813651332
"f_eta[1,4]",-0.48530020708505084,0.015324130309747407,0.6682980886424199,-1.8230619453145889,-0.9385083295120874,-0.4747155526769645,-0.020118622317597402,0.808324106933686,1901.9047596996288,1.0014573912216218
"f_eta[2,4]",0.16096442880139036,0.01353084303605279,0.9233646008199428,-1.690897855629296,-0.4413731094989436,0.15339254400087157,0.7877974864942798,1.9547674856786452,4656.89804317683,1.0000385086693255
"f_eta[1,5]",0.43381783761738857,0.013777268240704335,0.6767709897232599,-0.9145112974903784,-0.025313887916792472,0.4317459390682875,0.9062748443682023,1.7588909434695836,2412.9995445285335,1.0008261652978123
"f_eta[2,5]",0.10307531734328203,0.013834861367763669,0.9876056490655561,-1.8535232254881262,-0.5683497925023071,0.10697173697432369,0.7911247860973241,2.0303421622837092,5095.860229171524,1.0001352452582757
"f_eta[1,6]",0.6204715224872526,0.014063237028543308,0.7581601457181829,-0.8384090959527684,0.1113684458971832,0.592211762758208,1.1319894920170261,2.147554072827814,2906.372722973025,1.0005459082025405
"f_eta[2,6]",0.0752321433123507,0.013963304529936866,1.0040824734310678,-1.9045424016060895,-0.6051019025892193,0.08630003588592589,0.7526403505699091,2.0295328343289354,5170.854924777829,0.9998816347402021
"f_eta[1,7]",0.3187914648386212,0.014341697079625996,0.8499351297609785,-1.3414446519445598,-0.2352291387455388,0.29810161904401555,0.9035466297708019,1.946806970613445,3512.129084088589,0.9998498075278106
"f_eta[2,7]",0.05095325850753818,0.01416489910753007,1.016264139062997,-1.9589965724907545,-0.6197054663686367,0.04276169473144445,0.7294578677643591,2.082989697036231,5147.379999724743,0.9994882817346304
"f_eta[1,8]",0.11445280173812435,0.014323711384040429,0.9516823880695495,-1.7607052960141725,-0.5242629235667646,0.10249952678845121,0.7529695520024523,1.997238799586472,4414.4127894297535,1.0005634854445802
"f_eta[2,8]",0.013873893598492597,0.013452861201204005,1.0151276485425114,-1.9953035323209125,-0.6630916517405022,0.024632160789263738,0.7026135570241308,1.9737650770404969,5693.928251747351,0.9992384066554366
"f_eta[1,9]",0.05243080839827102,0.012928336664232567,0.9773257651024119,-1.8495549781821283,-0.608408544135119,0.05845993587350406,0.7070337959344156,1.9329315114649597,5714.699393418434,0.9995289845837181
"f_eta[2,9]",0.00387057627460016,0.01355435744363204,1.0266583262070736,-2.0037696178095397,-0.6587124757374991,-0.004533497205951068,0.7091414644096719,2.010417011659272,5737.120856413612,0.9994805546255409
"f_eta[1,10]",0.00983960656836646,0.014133889883043257,0.992112014809408,-1.938134056610144,-0.6459804742780565,-0.005075546120777286,0.6710507745193942,1.915012414414166,4927.175271101812,0.9996412090758973
"f_eta[2,10]",-0.004244685365353531,0.013341046586737643,0.9994426181019507,-1.970217100778796,-0.6789939351156296,-0.013099179530946338,0.6742728098222392,1.9897231677503011,5612.236033223488,0.9996206154712038
"f[1,1]",-1.411809710467014,0.00041400849231937244,0.026706526775796047,-1.4651889979312127,-1.4298081728267817,-1.4120052956083224,-1.3936528542155149,-1.3584829933384042,4161.178278470598,1.0005314698047898
"f[2,1]",-0.07993103427904204,0.0003170416674755503,0.01892983502470274,-0.11778981732158025,-0.09244948572794981,-0.07979349352220803,-0.06708872007740864,-0.04349700079671394,3565.0117954845664,1.000139577847043
"f[1,2]",-1.0789545628286508,0.0003492386586827077,0.021174699247500844,-1.1211012027458647,-1.093202909409465,-1.0786115878235523,-1.064284192568074,-1.039040076902888,3676.1216793309372,0.9998323310336356
"f[2,2]",-0.06702538682530755,0.00023899031847731468,0.014668402672301434,-0.09618494627664603,-0.07660542680499693,-0.0671759035253342,-0.057061505330340864,-0.03883137930332084,3767.0816299244634,0.9998567821193366
"f[1,3]",-0.6448470638015017,0.00028847471878222725,0.01860302172943854,-0.682608710133464,-0.6569954697202744,-0.6448935876829326,-0.6323013296631446,-0.608164468924176,4158.641368002561,1.0000117038194807
"f[2,3]",-0.052314800184654224,0.00020817440284429665,0.012538089600562453,-0.07708928170047301,-0.06035320743098396,-0.052262562845467084,-0.04395711065519232,-0.028009228023177096,3627.5055294683293,0.9997296514937547
"f[1,4]",-0.20058208271052422,0.0002798475557925469,0.017918530789787217,-0.2354240081502153,-0.21235316769177853,-0.20098910988369784,-0.18814548237825449,-0.1657315815031706,4099.791383667434,1.0007013294361462
"f[2,4]",-0.03633758071399373,0.00018886628634420336,0.011555293244180484,-0.059242954237785014,-0.044053161965819675,-0.0362320540211792,-0.028724191489055223,-0.013728484307492439,3743.286436825927,0.9995351818950693
"f[1,5]",0.1746080147513706,0.0002774819987962179,0.0185964550442695,0.13854206636813707,0.16206201361218683,0.1744675949132281,0.18723705612529962,0.21088345777172846,4491.492726515033,1.000015356239843
"f[2,5]",-0.01972261881536724,0.00017718674550615143,0.011185665070634856,-0.04181786605570632,-0.0270228593249587,-0.019586318096020978,-0.012486528925181685,0.0026573191130235523,3985.301291253404,0.9992798784624611
"f[1,6]",0.439395171699399,0.0002606399971877489,0.017530211525011722,0.40460392244583065,0.4276000901812441,0.43899192035903534,0.4514469138482699,0.4742456876627473,4523.683255254862,0.9997498448440567
"f[2,6]",-0.0029418766225388924,0.00017286677680758138,0.01113174276520196,-0.024470878705185065,-0.01032218637034478,-0.003108729988665469,0.004066635283826637,0.019475677540239565,4146.706095823119,0.9991129232495007
"f[1,7]",0.5953406986153222,0.0002762320961438011,0.017763110047991915,0.5606437734400296,0.5834771797376002,0.5957560888276117,0.6072725551069125,0.6296405578700166,4135.135402037026,0.9996404952801092
"f[2,7]",0.013730822771825284,0.0001822835738913454,0.011591727193041801,-0.009028544108563215,0.005836855969706935,0.01335488849344325,0.021640821796216528,0.03640273962466386,4043.9076909033515,0.9990740085542499
"f[1,8]",0.6724708043441948,0.0002877302744167286,0.01869262723650005,0.6352523262873948,0.6599210673190723,0.6725117853868576,0.684910998487894,0.708892556576483,4220.555067944448,0.999761181037699
"f[2,8]",0.030050407723301257,0.00020261974595605454,0.012709897735711717,0.005699393032342631,0.021502743295577997,0.029990157820746433,0.038722617836351586,0.055405324647959206,3934.7811250563245,0.9992248151356329
"f[1,9]",0.7072922653058908,0.00030213098804115444,0.01977930435586998,0.6686634838856991,0.6940767159298185,0.7070144171332539,0.720226386934989,0.7467826403478877,4285.795896116974,1.0009461139222862
"f[2,9]",0.0456962829213967,0.00023927778592897875,0.014985416912930148,0.01641259757882973,0.03561160189614633,0.0455454294227611,0.05558552853651991,0.07519090925153551,3922.2285555550197,0.9995118379862629
"f[1,10]",0.7256111145523177,0.00039025617128397714,0.025645788539177414,0.67523624544113,0.7085613150518739,0.725506299623756,0.7431309484225905,0.7757859473479449,4318.49633198693,1.0006725386137238
"f[2,10]",0.06030255307627873,0.0003114438302458329,0.01936090062829814,0.022352577344301877,0.04719877691418722,0.06006870421209068,0.07326181668098838,0.09870598859423929,3864.4851974633207,0.999757233932807
lp__,-580.411874345094,0.1181433985420644,4.019932926086189,-589.1637326023838,-582.9914897264421,-580.0163053665342,-577.5584388106997,-573.7176652246649,1157.7604086856722,1.0035873530864134
