,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
lengthscale[1],0.4737770567138639,0.0019139096546534078,0.08326815192142147,0.3245943011457625,0.416860414637704,0.4685495319748025,0.5252660692935367,0.6496751824600908,1892.8447086074334,1.0011970052064663
lengthscale[2],2.2142259962155437,0.055915146341772665,2.2146313191475357,0.38738961703708674,0.9368433569449068,1.5309515725192626,2.6467626191718354,8.395071474875689,1568.7146161528594,1.0011098946268102
alpha[1],1.207849027420071,0.01485438817916348,0.5320827940047869,0.5728741450596431,0.8410002255265905,1.081762985071392,1.432963375539546,2.5351054110417754,1283.0656935299976,1.0050695506563085
alpha[2],0.3707878388479467,0.009172169370079418,0.3922259223564522,0.050957702254664894,0.12884557198675486,0.24059971548353115,0.4675630156192914,1.467611393030158,1828.6410073056077,1.000872980132011
sigma,0.6662960794104998,8.070674888684836e-05,0.005942972527759033,0.6547722687422874,0.6623330329258954,0.6661871815406293,0.6702498596870454,0.6784753469231991,5422.352404547467,1.000015602804508
"f_eta[1,1]",-1.3576484638739332,0.013776705771116915,0.4981131221430174,-2.4659839459591746,-1.6755682744992346,-1.303632407269686,-0.9852526692681266,-0.5620985686740314,1307.2697116123986,1.0040659483001138
"f_eta[2,1]",-0.43075572172339355,0.010276720021375436,0.36347233407076224,-1.396730243277679,-0.5801069358517905,-0.3186072215507331,-0.16702271759658407,-0.05018294789661291,1250.931907296904,1.001618249519021
"f_eta[1,2]",1.1662823729645397,0.009616128363779475,0.3912621562234613,0.515645031782337,0.8831917004249374,1.1245596770850363,1.4088336488762496,2.061177706467661,1655.522867298879,1.002572417763259
"f_eta[2,2]",0.9111933322280474,0.01205636746968508,0.6450255877350694,-0.2030474117491209,0.46915217939578996,0.852543273519474,1.3020683555018637,2.3274228599164077,2862.3381124118355,0.9996016662132934
"f_eta[1,3]",0.6955451243941317,0.00625301976392845,0.31855853516863614,0.1211159477464375,0.47456991281137484,0.680395295708334,0.8980035489365028,1.3637854907586013,2595.367659295077,1.001461882862263
