,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
lengthscale[1],0.47397285902526165,0.004306693188634725,0.0808654074953583,0.33145599671545256,0.4188034034810917,0.46786089770453215,0.5305247001787801,0.6450796856373208,352.56377839071047,1.002086088527204
lengthscale[2],2.4644239563886274,0.15159419355664297,2.930161661806103,0.3739632877157514,0.9130340719497853,1.5518422932860076,2.747207875509094,10.104539977822997,373.6096020859885,1.0069389902179195
alpha[1],1.2027383499931463,0.026464157336362322,0.48475398980567547,0.5685164815857296,0.8484655970287679,1.0943935741616269,1.4507219026779952,2.401044232515487,335.5263595309644,1.0103303698693
alpha[2],0.4026430407009272,0.022251138639844553,0.4568959631437704,0.04975125721757241,0.1270422354504442,0.24488429953332774,0.47979462250736615,1.711806062865422,421.62869715745035,0.9999360656384739
sigma,0.6663055182417443,0.00018057142448399323,0.0060843131215155615,0.6549814782946013,0.6622991783802203,0.6660227135472314,0.6702687922716601,0.6786222851488467,1135.3377138029243,0.9966737083938819
"f_eta[1,1]",-1.347669118523185,0.029585529626323676,0.4904843301648006,-2.454947059518266,-1.672149794221712,-1.2765610390945596,-0.9788012466208725,-0.5918520640779488,274.84736522543255,1.0197202276062467
"f_eta[2,1]",-0.4341081330435565,0.02377444687103623,0.3791744887204035,-1.3927803260313938,-0.5937822212361576,-0.3261387441282042,-0.1559514869731265,-0.042893327521754496,254.3650136513671,1.006843540114346
"f_eta[1,2]",1.152042013095201,0.018409841138607573,0.36374864124379064,0.5527192421335925,0.8823944343614385,1.1258608234401217,1.3622824684444026,1.929227269776176,390.3935894276335,1.0092935336168936
"f_eta[2,2]",0.9254686917957149,0.026094875475194308,0.6389560508486708,-0.10801766222673621,0.49969337341627273,0.8660004710990068,1.2773091924570097,2.345903650218862,599.5584345052637,1.0059071319998307
"f_eta[1,3]",0.7105294144429213,0.014751045207120755,0.31632886517516723,0.13167338522443942,0.48069394862039805,0.6903539695617931,0.9056374380440615,1.3856446986560738,459.8668018935884,1.0084219926812306
"f_eta[2,3]",0.3838920880002078,0.036173557341036694,0.8783247809357606,-1.4027058181809253,-0.1847230618456766,0.3392132431471199,0.9694002608561183,2.0987179080087315,589.5597588432431,1.0085183750456899
"f_eta[1,4]",-0.5442037383755235,0.0352430407727403,0.6449670457025125,-1.7407413337231559,-0.9851660698024641,-0.5351143983273603,-0.11461921393699662,0.7584154174540763,334.9101468037065,1.0037006489695603
"f_eta[2,4]",0.14434965695223065,0.030435768636037266,0.9552780994676211,-1.734653918844036,-0.5239989896876557,0.15560649096329257,0.7716341366447365,2.0022631953467727,985.1244419320041,0.9975618766907463
"f_eta[1,5]",0.4821009151468244,0.028427960544861505,0.647156342012917,-0.8033306400576916,0.04551469768460058,0.4859632985266976,0.9434816666349364,1.7597753775544573,518.2353275423966,0.9989586415011354
"f_eta[2,5]",0.12803396169759726,0.029107035329758,0.9999933676937872,-1.8106315213564117,-0.5468161514023591,0.13930249540097123,0.8049937664714772,2.035423958435976,1180.31599687942,0.9975625540728984
"f_eta[1,6]",0.6300597904756868,0.0314694617939249,0.7594163711272535,-0.7874438423019964,0.1004960431617738,0.6215433666663639,1.1510403600172094,2.116258849340193,582.3462450568658,0.9994067462939975
"f_eta[2,6]",0.07524630473564513,0.030093511387174615,0.9943535136956683,-1.8759028996753786,-0.5751638618731119,0.09547970924542967,0.7320668126616167,2.012049181844384,1091.7819119762828,0.9986125771869189
"f_eta[1,7]",0.2477879149341584,0.027463628987611087,0.8317026343101581,-1.3629079144691367,-0.31388094153842905,0.19757734742386823,0.808794069266069,1.942166344274547,917.1076311244659,1.002523697991659
"f_eta[2,7]",-0.003190179240022442,0.03136917325793485,0.9713342088634711,-1.9748537214882136,-0.6297238145250524,0.008717109491752969,0.630149814154852,1.9430338270645642,958.8070584531791,0.9973307216763277
"f_eta[1,8]",0.16251306791021322,0.0318874720099474,0.9284095832735328,-1.7030634399579567,-0.46670465257197324,0.19325626457293532,0.8790043915062573,1.8227283529962222,847.6938816650006,1.0016899182084675
"f_eta[2,8]",0.11332696319866915,0.027569075256445558,1.0108764985158536,-1.813510819240233,-0.5943978682284499,0.11048496195055353,0.7823059624018966,2.0737293927847777,1344.4721238068596,0.999687350860351
"f_eta[1,9]",0.031546783874344154,0.030127043485401322,1.012684286101988,-1.910232181119858,-0.661592765296217,0.06230416439586157,0.730080901682753,2.049654669158507,1129.8872643485893,0.9962176533568594
"f_eta[2,9]",0.04855798988141219,0.029609310586871045,0.9219419386002402,-1.7210394254257815,-0.5887042295973479,0.032217470250479587,0.6682372680403815,1.9518262947210119,969.506112114611,1.0067872464182654
"f_eta[1,10]",0.05936704506653727,0.030585560389174135,1.002659870182151,-2.0260470688364514,-0.5851975955046107,0.04809814054092583,0.723797480766265,1.993057571383979,1074.668161767096,0.9965708949535834
"f_eta[2,10]",-0.00014555335658638757,0.028431380893691665,0.9463358540337687,-1.9109851337809225,-0.6634866545430189,0.009470258879537027,0.6552736822787703,1.824497399539966,1107.8849991247494,0.9989034890140202
"f[1,1]",-1.4097096404166978,0.0009438541555575194,0.02652867874844258,-1.463209768841928,-1.427560072940695,-1.4078181820153257,-1.3921386874902986,-1.3624887355156654,789.9897506274594,0.996864768292245
"f[2,1]",-0.0782679176839787,0.0008487721747776819,0.018656887586072486,-0.11487747755814545,-0.09079990709656693,-0.0777297352524371,-0.06568765560102625,-0.04299488200077729,483.16572902041474,1.002923757356107
"f[1,2]",-1.0783766512480073,0.0007831982449889738,0.020610951110546148,-1.1216999110468375,-1.0919571276222118,-1.077908096064932,-1.0646311253358542,-1.040154473932582,692.5524261860097,1.002349389367062
"f[2,2]",-0.06377148124046844,0.0006265539069539643,0.014174416660070323,-0.09183463375818635,-0.07309664064225094,-0.06384533765308165,-0.054016267757317785,-0.036167402935161685,511.79201383667277,1.0000515136639914
"f[1,3]",-0.6444603753924855,0.000634490531415379,0.01831899743674513,-0.6798266233803647,-0.6569624633305488,-0.6445202927987019,-0.6312181649109072,-0.6113973509906512,833.5911839375518,1.0018514506889078
"f[2,3]",-0.047783012110254264,0.00050356162809909,0.012040220669414741,-0.07066749643672,-0.05645782174689858,-0.04763471914456226,-0.03985578003873537,-0.024446234707127465,571.6940011989096,0.9995520750581494
"f[1,4]",-0.20016065161342844,0.0006435324048635834,0.017585497010233857,-0.2354701418384143,-0.21135427257743722,-0.20002003046991046,-0.18924032118209386,-0.1661638587872996,746.7383452497455,1.0022667791717492
"f[2,4]",-0.030776422525646746,0.0004498092540486204,0.01123133980170942,-0.052419385709029556,-0.038559215580696936,-0.030785505992056005,-0.02354706147099536,-0.009776697941618895,623.4567937330231,1.0016645560537463
"f[1,5]",0.17492010364200816,0.0006625207129643984,0.018682448044907273,0.13854070802176568,0.1623225313786451,0.174244703282811,0.1875282912877244,0.21039662504091644,795.1858534480707,1.002443257228982
"f[2,5]",-0.013296830642368489,0.0004246378563074179,0.011003232580059771,-0.03612401834581151,-0.02045263936851694,-0.01387477636043061,-0.006041420647843229,0.007952766532307686,671.4337512912012,1.0039499394306488
"f[1,6]",0.43951461824120996,0.0005821006227912431,0.01776597196532556,0.40375585556343363,0.427330135373565,0.43987563971418575,0.45143099671980735,0.47513039558959824,931.497764645596,0.9989487662122793
"f[2,6]",0.004208903891900752,0.0004108455809616768,0.010997366643269805,-0.01774967339170718,-0.003028537770895543,0.0037021066131129638,0.011307739386773024,0.02676926687887072,716.506555925318,1.0039360536943358
"f[1,7]",0.5954666679090684,0.000622930326765442,0.017522230940716695,0.560873127293537,0.5842949164715465,0.5958032240647405,0.607190318051193,0.6296938243366914,791.2247262446275,0.9969430430948777
"f[2,7]",0.021467532496376295,0.00043122970169792886,0.011424378946851076,-0.0014616064826677671,0.013766779229055982,0.021222811321402486,0.029193172943534722,0.04349564287949699,701.8557600303582,1.0013393527295489
